Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      127     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00       63     0.00     0.00  std::_Identity<std::pair<int, int> >::operator()(std::pair<int, int> const&) const
  0.00      0.00     0.00       61     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_ptr() const
  0.00      0.00     0.00       61     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_addr() const
  0.00      0.00     0.00       61     0.00     0.00  std::_Rb_tree_node<std::pair<int, int> >::_M_valptr() const
  0.00      0.00     0.00       58     0.00     0.00  std::less<std::pair<int, int> >::operator()(std::pair<int, int> const&, std::pair<int, int> const&) const
  0.00      0.00     0.00       58     0.00     0.00  std::_Rb_tree_iterator<std::pair<int, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.00     0.00       58     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_key(std::_Rb_tree_node<std::pair<int, int> > const*)
  0.00      0.00     0.00       58     0.00     0.00  bool std::operator< <int, int>(std::pair<int, int> const&, std::pair<int, int> const&)
  0.00      0.00     0.00       46     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       40     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.00     0.00       39     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.00     0.00       39     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.00     0.00       39     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.00     0.00       36     0.00     0.00  std::operator!=(std::_List_const_iterator<int> const&, std::_List_const_iterator<int> const&)
  0.00      0.00     0.00       34     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.00     0.00       33     0.00     0.00  Graph::getAdjList[abi:cxx11](int) const
  0.00      0.00     0.00       33     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long) const
  0.00      0.00     0.00       32     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.00     0.00       32     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
